date,ticker,setups,catalyst,score,entry,stop,target_1r,target_2r,rr,rsi14,vol_x_avg,headline
2026-08-20,CHOICEIN,S4,NEWS,5,809.7,795.35,824.05,838.4,3.11,53.1,1.63,Choice International Share Price Target 2026: Rs 845 Analyst Forecast - Univest
2026-08-20,THEJO,S4,NEWS,5,2101.2,2040.0,2162.4,2223.6,3.03,56.1,2.76,Allotment of Securities
2026-08-20,FEDERALBNK,S4,EXP,5,355.3,349.65,360.95,366.6,2.9,55.6,1.02,Analysts/Institutional Investor Meet/Con. Call Updates
2026-08-20,KARURVYSYA,S4,NEWS,5,334.1,326.6,341.6,349.1,2.36,55.3,1.27,Outcome of Board Meeting
2026-08-20,FOSECOIND,S4,NEWS,5,5506.0,5313.0,5699.0,5892.0,2.04,59.5,1.66,Should You Buy Foseco India Limited (NSE:FOSECOIND) For Its Upcoming Dividend? - simplywall.st
2026-08-20,SSWL,S2+S4,NEWS,4,304.8,303.0,306.6,308.4,13.11,56.6,0.71,SSWL Forecast — Price Target — Prediction for 2027 - TradingView
2026-08-20,M&MFIN,S2+S4,NEWS,4,382.45,379.55,385.35,388.25,11.22,54.1,0.57,M&MFIN Forecast — Price Target — Prediction for 2027 - TradingView
2026-08-20,MEDPLUS,S3,NEWS,4,656.3,648.0,664.6,672.9,8.59,28.0,4.3,Shareholders meeting
2026-08-20,SIEMENS,S2+S4,ERN,4,3880.0,3854.6,3905.4,3930.8,8.58,54.4,0.5,Siemens' (NSE:SIEMENS) Weak Earnings May Only Reveal A Part Of The Whole Picture - simplywall.st
2026-08-20,SMLMAH,S4,EXP,4,5159.5,5057.35,5261.65,5363.8,8.11,56.4,0.15,Here's Why SML Mahindra (NSE:SMLMAH) Has Caught The Eye Of Investors - simplywall.st
2026-08-20,SOTL,S4,EXP,4,688.55,672.92,704.18,719.82,8.07,55.5,0.25,Here's Why Savita Oil Technologies (NSE:SOTL) Has Caught The Eye Of Investors - simplywall.st
2026-08-20,ENGINERSIN,S4,NEWS,4,237.21,235.34,239.08,240.95,6.73,50.6,0.65,Record Date
2026-08-20,INDIANB,S4,EXP,4,871.0,865.0,877.0,883.0,5.47,54.2,0.38,Investor Presentation
2026-08-20,BLUESTONE,S4,NEWS,4,821.5,801.41,841.59,861.68,5.2,58.3,0.08,Copy of Newspaper Publication
2026-08-20,LALPATHLAB,S2+S4,NEWS,4,1889.4,1870.1,1908.7,1928.0,5.16,57.5,0.62,General Updates
2026-08-20,GULFOILLUB,S4,NEWS,4,1151.3,1135.39,1167.21,1183.11,4.97,57.9,0.39,Copy of Newspaper Publication
2026-08-20,KALYANKJIL,S4,NEWS,4,596.0,585.05,606.95,617.9,4.84,59.1,0.27,Copy of Newspaper Publication
2026-08-20,EXIDEIND,S2+S4,NEWS,4,464.1,456.55,471.65,479.2,4.28,55.6,0.38,General Updates
2026-08-20,INDIGOPNTS,S4,ERN,4,1130.7,1109.1,1152.3,1173.9,4.18,57.7,0.63,The Indigo Paints Limited (NSE:INDIGOPNTS) First-Quarter Results Are Out And Analysts Have Published New Forecasts - simplywall.st
2026-08-20,SAREGAMA,S4,ERN,4,520.2,507.1,533.3,546.4,4.15,53.0,0.31,Saregama India Limited (NSE:SAREGAMA) Released Earnings Last Week And Analysts Lifted Their Price Target To ₹620 - simplywall.st
2026-08-20,OSWALPUMPS,S3,EXP,4,304.75,291.2,318.3,331.85,4.12,34.2,2.08,Why Investors Shouldn't Be Surprised By Oswal Pumps Limited's (NSE:OSWALPUMPS) 26% Share Price Plunge - simplywall.st
2026-08-20,RPTECH,S4,NEWS,4,856.15,828.45,883.85,911.55,4.03,55.1,0.6,Copy of Newspaper Publication
2026-08-20,NATIONALUM,S4,NEWS,4,385.6,376.5,394.7,403.8,4.02,56.2,0.66,Shareholders meeting
2026-08-20,AARTIDRUGS,S4,EXP,4,414.75,404.5,425.0,435.25,3.8,51.8,0.65,Investors Don't See Light At End Of Aarti Drugs Limited's (NSE:AARTIDRUGS) Tunnel And Push Stock Down 25% - simplywall.st
